ENTREZ_GENE_ID,INCHIKEY_DESALT,CANONICAL_SMILES_DESALT,RESULT_VALUE_min,dataset,PDB_CODE,PKL,pair,cv1|cvset,cv1|tthresh,cv1|cthresh,cv1|source,cv2|cvset,cv2|tthresh,cv2|cthresh,cv2|source,cv3|cvset,cv3|tthresh,cv3|cthresh,cv3|source,cv4|cvset,cv4|tthresh,cv4|cthresh,cv4|source,cv5|cvset,cv5|tthresh,cv5|cthresh,cv5|source,status,metal_lgd,ligand,hdf_id
Q01217,3zzf,OC(=O)CC[C@@H](C(=O)O)NC(=O)C,12.894476520766654,PDBBIND,3zzf,False,Q01217|3zzf,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(NLG),Q01217|3zzf
O67854,3gww,FC(c1ccc(cc1)O[C@H](c1ccccc1)CC[NH2+]C)(F)F,12.779347266116956,PDBBIND,3gww,False,O67854|3gww,training,,,,,,,,training,,,,,,,,training,,,,protein,0.0,(SFX),O67854|3gww
P62937,1w8l,C[C@@H]1CCCN(C1)C(=O)C,12.687243862397194,PDBBIND,1w8l,False,P62937|1w8l,training,,,,training,,,,training,,,,training,,,,,,,,protein,0.0,(1P3),P62937|1w8l
P24630,3fqa,Nc1cccc(c1)C(=O)O,12.687243862397194,PDBBIND,3fqa,False,P24630|3fqa,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(GAB&PMP),P24630|3fqa
P00918,1zsb,CC(=O)Nc1nnc(s1)S(=O)(=O)N,12.433959502167847,PDBBIND,1zsb,False,P00918|1zsb,training,,,,training,,,,training,,,,,,,,training,,,,desalted,0.0,(AZM),P00918|1zsb
A7B1V0,4obv,FC[C@](C(=O)O)(Cc1c[nH]c2c1cccc2)[NH3+],12.088571738218741,PDBBIND,4obv,False,A7B1V0|4obv,test,0,0.4,PDBBIND,training,,,,training,,,,validation,0,0.4,PDBBIND,validation,0,0.4,PDBBIND,protein,0.0,(2SU),A7B1V0|4obv
P56218,1wkm,CSCC[C@H]([NH3+])C(=O)O,11.927390781709153,PDBBIND,1wkm,False,P56218|1wkm,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(MET),P56218|1wkm
P11456,3k41,O[C@@H]1O[C@H](COP(O)(O)O)[C@H]([C@@H]([C@@H]1O)O)O,11.927390781709153,PDBBIND,3k41,False,P11456|3k41,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(M6D),P11456|3k41
B3EY95,4eu3,OC(=O)C(CC(=O)O)(CC(=O)O)O,11.927390781709153,PDBBIND,4eu3,False,B3EY95|4eu3,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(CIT),B3EY95|4eu3
P06730,2w97,OCC(CO)O,11.60502886868999,PDBBIND,2w97,False,P06730|2w97,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(GOL),P06730|2w97
Q43088,1p0y,C[NH2+]CCCC[C@@H](C(=O)O)[NH3+],11.512925464970227,PDBBIND,1p0y,False,Q43088|1p0y,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(MLZ),Q43088|1p0y
P74325,2b1r,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O,11.512925464970227,PDBBIND,2b1r,False,P74325|2b1r,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(CBI),P74325|2b1r
P74325,2d2v,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O,11.512925464970227,PDBBIND,2d2v,False,P74325|2d2v,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(MAL),P74325|2d2v
P50921,1aw1,OC(=O)COP(O)(O)O,11.397796210320527,PDBBIND,1aw1,False,P50921|1aw1,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(PGA),P50921|1aw1
P00953,1maw,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,11.282666955670823,PDBBIND,1maw,False,P00953|1maw,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(ATP),P00953|1maw
Q81R22,3fl9,COc1cc(Cc2cnc(nc2N)N)cc(c1OC)OC,11.259641104740885,PDBBIND,3fl9,False,Q81R22|3fl9,training,,,,training,,,,training,,,,,,,,training,,,,desalted,0.0,(TOP),Q81R22|3fl9
Q9I4L4,5eb2,OC(=O)[C@H](Cc1c[nH]c2c1cccc2)[NH3+],11.259641104740885,PDBBIND,5eb2,False,Q9I4L4|5eb2,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(TRP),Q9I4L4|5eb2
Q8CHT0,4lh2,OC(=O)CCC(=O)O,10.960305042651658,PDBBIND,4lh2,False,Q8CHT0|4lh2,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(SIN),Q8CHT0|4lh2
