Q01217|3zzf
O67854|3gww
P62937|1w8l
P24630|3fqa
P00918|1zsb
A7B1V0|4obv
P56218|1wkm
P11456|3k41
B3EY95|4eu3
P06730|2w97
Q43088|1p0y
P74325|2b1r
P74325|2d2v
P50921|1aw1
P00953|1maw
Q81R22|3fl9
Q9I4L4|5eb2
Q8CHT0|4lh2
W8TRN9|4to8
P05089|4fci
P05089|4fck
Q96PN6|4clp
Q54873|1f9g
P22340|1a0t
P56868|1b74
P21642|2fah
P52011|2igw
P00760|5mnc
P00760|5mny
P00760|5moo
Q96W94|2vl1
Q9ZMY2|3nm6
P06169|1qpb
Q24451|1hty
P00811|2hdq
P62617|3eor
Q8A712|3e81
Q43088|1ozv
P00760|1utp
Q9I4L4|5eb3
P00760|1tnk
Q5EP31|4bh4
Q8CHT0|4lh3
P14210|5ct1
P01556|5ele
P53396|3mwe
Q9STC1|4amw
P04789|1iig
P24182|3rup
P14210|5cs5
O43175|5ofv
P74325|2b1q
P62937|1w8m
Q93J45|3itc
P00915|2it4
P25910|1a7t
Q2TLC1|4d63
P03437|1hgj
P08661|1rdj
P22505|2o9r
Q6PL18|4qsw
P10724|2sfp
Q96ZY1|3gf2
------|3oay
D0PY27|4tyb
A9LI60|3g6m
P00811|2hdr
P62617|3ern
O60844|3vzg
Q9L1K2|3zst
Q9I4L4|5y61
P04746|1u2y
Q6PL18|4qsx
Q9I4L4|5y62
Q8WZA1|5ggj
Q6DQ34|4bgx
P02791|3f39
Q8WZA1|5ggl
Q6WY08|2zgm
P96945|1ga8
P00760|3rxh
P02943|1af6
P00763|1bra
P60484|1d5r
P35439|1y1m
P12497|4ahv
P08661|1rdn
P32890|1fd7
P00749|3khv
P00760|1tnl
P95468|2ay2
P08709|4x8s
P80561|1f2p
P15379|4mrh
P80561|1f2o
P32890|1efi
Q8A8X4|3ehn
Q5EP31|4bh3
Q8GMG0|2rjr
P10253|5nn4
P15379|4mrf
P00760|1tnj
Q9R4E4|2gga
P10538|1wdq
B8LFD6|3i3d
P00760|1gbt
P06820|1ing
O25776|2bmv
P00811|2hds
Q9VHA0|2r58
P43619|3c2f
Q9L5C8|3g2y
P00436|3pce
P24182|3rv3
Q15370|4awj
A9LIE0|4ctk
P00811|4kz5
Q6PL18|4qsu
Q6PL18|4qsv
P52293|4u58
P11838|4y4g
D0PY27|4ty8
P27915|5ekx
O43175|5nzq
P25103|2ks9
P00690|1jfh
P00918|4e4a
D0PY27|4ty9
P08709|4x8t
P27915|5eiw
P80561|1qq9
P08661|1rdi
O15389|2zg3
P52293|4u54
Q72498|3ao4
O33877|4b0c
P00760|3rxp
Q0P9D1|5tyh
Q9TZZ6|1njj
O15389|2zg1
P10968|4aml
Q8QN58|4cs9
Q97VT7|3uf9
