gene_id,UniProtEntry,Uniprot Entry,Uniprot Entry name,Gene names,Protein names,HGNC ID,HGNC_Symbol,Approved name,IDG dark kinase,Kinhub Kinase,Manning Kinase,Group,Family,Uniprot_kinaseactivity,PfamDomain,DomainStart,DomainEnd,ProKinO,Fold_Annotation,Fold,Annotation_Score,INDRA_network,Pseudokinase
22848,sp|Q2M2I8|AAK1_HUMAN,Q2M2I8,AAK1_HUMAN,AAK1 KIAA1048,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),HGNC:19679,AAK1,AP2 associated kinase 1,0,1,1,Other,NAK,1,Pkinase,46.0,313.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.387204544,http://ndexbio.org/#/network/33631430-5d8b-11ea-bfdc-0ac135e8bacf,0
5562,sp|Q13131|AAPK1_HUMAN,Q13131,AAPK1_HUMAN,PRKAA1 AMPK1,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),HGNC:9376,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,0,1,1,CAMK,CAMKL,1,Pkinase,27.0,279.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,3.0460057989999996,http://ndexbio.org/#/network/fd032ee4-5da6-11ea-bfdc-0ac135e8bacf,0
5563,sp|P54646|AAPK2_HUMAN,P54646,AAPK2_HUMAN,PRKAA2 AMPK AMPK2,5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31),HGNC:9377,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,0,1,1,CAMK,CAMKL,1,Pkinase,16.0,268.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.491737675,http://ndexbio.org/#/network/a6854450-5e1f-11ea-bfdc-0ac135e8bacf,0
25,sp|P00519|ABL1_HUMAN,P00519,ABL1_HUMAN,ABL1 ABL JTK7,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),HGNC:76,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",0,1,1,TK,Abl,1,Pkinase_Tyr,242.0,495.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,4.245785153,http://ndexbio.org/#/network/126f312a-5da7-11ea-bfdc-0ac135e8bacf,0
27,sp|P42684|ABL2_HUMAN,P42684,ABL2_HUMAN,ABL2 ABLL ARG,Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),HGNC:77,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",0,1,1,TK,Abl,1,Pkinase_Tyr,288.0,541.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.234370014,http://ndexbio.org/#/network/4c5f4224-5d8b-11ea-bfdc-0ac135e8bacf,0
10188,sp|Q07912|ACK1_HUMAN,Q07912,ACK1_HUMAN,TNK2 ACK1,Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2),HGNC:19297,TNK2,tyrosine kinase non receptor 2,0,1,1,TK,Ack,1,Pkinase_Tyr,126.0,387.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.258422511,http://ndexbio.org/#/network/c6a1c976-5e1f-11ea-bfdc-0ac135e8bacf,0
91,sp|P36896|ACV1B_HUMAN,P36896,ACV1B_HUMAN,ACVR1B ACVRLK4 ALK4,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),HGNC:172,ACVR1B,activin A receptor type 1B,0,1,1,TKL,STKR,1,Pkinase,207.0,496.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.138401724,http://ndexbio.org/#/network/ce28d1cc-5e1f-11ea-bfdc-0ac135e8bacf,0
130399,sp|Q8NER5|ACV1C_HUMAN,Q8NER5,ACV1C_HUMAN,ACVR1C ALK7,Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7),HGNC:18123,ACVR1C,activin A receptor type 1C,0,1,1,TKL,STKR,1,Pkinase_Tyr,195.0,484.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.219592602,http://ndexbio.org/#/network/70e9f6e6-5d8b-11ea-bfdc-0ac135e8bacf,0
94,sp|P37023|ACVL1_HUMAN,P37023,ACVL1_HUMAN,ACVRL1 ACVRLK1 ALK1,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),HGNC:175,ACVRL1,activin A receptor like type 1,0,1,1,TKL,STKR,1,Pkinase_Tyr,202.0,491.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.767514178,http://ndexbio.org/#/network/d68b6d12-5e1f-11ea-bfdc-0ac135e8bacf,0
90,sp|Q04771|ACVR1_HUMAN,Q04771,ACVR1_HUMAN,ACVR1 ACVRLK2,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I),HGNC:171,ACVR1,activin A receptor type 1,0,1,1,TKL,STKR,1,Pkinase,208.0,497.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.282013852,http://ndexbio.org/#/network/de829c58-5e1f-11ea-bfdc-0ac135e8bacf,0
207,sp|P31749|AKT1_HUMAN,P31749,AKT1_HUMAN,AKT1 PKB RAC,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha),HGNC:391,AKT1,AKT serine/threonine kinase 1,0,1,1,AGC,Akt,1,Pkinase,150.0,408.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,6.415459322999999,http://ndexbio.org/#/network/3fbd8ce0-5da7-11ea-bfdc-0ac135e8bacf,0
208,sp|P31751|AKT2_HUMAN,P31751,AKT2_HUMAN,AKT2,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),HGNC:392,AKT2,AKT serine/threonine kinase 2,0,1,1,AGC,Akt,1,Pkinase,152.0,409.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,3.106472058,http://ndexbio.org/#/network/5b83d746-5da7-11ea-bfdc-0ac135e8bacf,0
10000,sp|Q9Y243|AKT3_HUMAN,Q9Y243,AKT3_HUMAN,AKT3 PKBG,RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2),HGNC:393,AKT3,AKT serine/threonine kinase 3,0,1,1,AGC,Akt,1,Pkinase,148.0,405.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.20830642,http://ndexbio.org/#/network/e8085ade-5e1f-11ea-bfdc-0ac135e8bacf,0
238,sp|Q9UM73|ALK_HUMAN,Q9UM73,ALK_HUMAN,ALK,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),HGNC:427,ALK,ALK receptor tyrosine kinase,0,1,1,TK,ALK,1,Pkinase_Tyr,1116.0,1385.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.83578957,http://ndexbio.org/#/network/651a5eac-5da7-11ea-bfdc-0ac135e8bacf,0
269,sp|Q16671|AMHR2_HUMAN,Q16671,AMHR2_HUMAN,AMHR2 AMHR MISR2,Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII),HGNC:465,AMHR2,anti-Mullerian hormone receptor type 2,0,1,1,TKL,STKR,1,Pkinase,203.0,506.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.234918683,http://ndexbio.org/#/network/a36146c7-5d8b-11ea-bfdc-0ac135e8bacf,0
255239,sp|Q8NFD2|ANKK1_HUMAN,Q8NFD2,ANKK1_HUMAN,ANKK1 PKK2 SGK288,Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase),HGNC:21027,ANKK1,ankyrin repeat and kinase domain containing 1,0,1,1,TKL,RIPK,1,Pkinase_Tyr,24.0,286.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.33774245399999997,http://ndexbio.org/#/network/a8fd20ed-5d8b-11ea-bfdc-0ac135e8bacf,0
4881,sp|P16066|ANPRA_HUMAN,P16066,ANPRA_HUMAN,NPR1 ANPRA,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A),HGNC:7943,NPR1,natriuretic peptide receptor 1,0,1,1,RGC,RGC,1,Pkinase_Tyr,529.0,803.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.294491918,http://ndexbio.org/#/network/6d875a32-5da7-11ea-bfdc-0ac135e8bacf,1
4882,sp|P20594|ANPRB_HUMAN,P20594,ANPRB_HUMAN,NPR2 ANPRB,Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B),HGNC:7944,NPR2,natriuretic peptide receptor 2,0,1,1,RGC,RGC,1,Pkinase_Tyr,513.0,788.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.585515711,http://ndexbio.org/#/network/f0270f54-5e1f-11ea-bfdc-0ac135e8bacf,1
369,sp|P10398|ARAF_HUMAN,P10398,ARAF_HUMAN,ARAF ARAF1 PKS PKS2,Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks),HGNC:646,ARAF,"A-Raf proto-oncogene, serine/threonine kinase",0,1,1,TKL,RAF,1,Pkinase_Tyr,310.0,569.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.567877346,http://ndexbio.org/#/network/f8220f28-5e1f-11ea-bfdc-0ac135e8bacf,0
156,sp|P25098|ARBK1_HUMAN,P25098,ARBK1_HUMAN,GRK2 ADRBK1 BARK BARK1,Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2),HGNC:289,GRK2,G protein-coupled receptor kinase 2,0,1,1,AGC,GRK,1,Pkinase,191.0,453.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.694060174,http://ndexbio.org/#/network/772beb58-5da7-11ea-bfdc-0ac135e8bacf,0
157,sp|P35626|ARBK2_HUMAN,P35626,ARBK2_HUMAN,GRK3 ADRBK2 BARK2,Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3),HGNC:290,GRK3,G protein-coupled receptor kinase 3,0,1,1,AGC,GRK,1,Pkinase,191.0,453.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.894074652,http://ndexbio.org/#/network/bf228833-5d8b-11ea-bfdc-0ac135e8bacf,0
6790,sp|O14965|AURKA_HUMAN,O14965,AURKA_HUMAN,AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A),HGNC:11393,AURKA,aurora kinase A,0,1,1,Other,Aur,1,Pkinase,133.0,383.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.81729418,http://ndexbio.org/#/network/83ba07de-5da7-11ea-bfdc-0ac135e8bacf,0
9212,sp|Q96GD4|AURKB_HUMAN,Q96GD4,AURKB_HUMAN,AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B),HGNC:11390,AURKB,aurora kinase B,0,1,1,Other,Aur,1,Pkinase,77.0,327.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,3.2548799660000003,http://ndexbio.org/#/network/8dc83044-5da7-11ea-bfdc-0ac135e8bacf,0
6795,sp|Q9UQB9|AURKC_HUMAN,Q9UQB9,AURKC_HUMAN,AURKC AIE2 AIK3 AIRK3 ARK3 STK13,Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C),HGNC:11391,AURKC,aurora kinase C,0,1,1,Other,Aur,1,Pkinase,43.0,293.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.742720686,http://ndexbio.org/#/network/db50bc32-5d8b-11ea-bfdc-0ac135e8bacf,0
92,sp|P27037|AVR2A_HUMAN,P27037,AVR2A_HUMAN,ACVR2A ACVR2,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA),HGNC:173,ACVR2A,activin A receptor type 2A,0,1,1,TKL,STKR,1,Pkinase,192.0,481.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.0034299190000002,http://ndexbio.org/#/network/ffcf160e-5e1f-11ea-bfdc-0ac135e8bacf,0
93,sp|Q13705|AVR2B_HUMAN,Q13705,AVR2B_HUMAN,ACVR2B,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),HGNC:174,ACVR2B,activin A receptor type 2B,0,1,1,TKL,STKR,1,Pkinase,190.0,479.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.134519189,http://ndexbio.org/#/network/08010464-5e20-11ea-bfdc-0ac135e8bacf,0
640,sp|P51451|BLK_HUMAN,P51451,BLK_HUMAN,BLK,Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk),HGNC:1057,BLK,"BLK proto-oncogene, Src family tyrosine kinase",0,1,1,TK,Src,1,Pkinase_Tyr,241.0,492.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.8464579790000001,http://ndexbio.org/#/network/ed2b8174-5d8b-11ea-bfdc-0ac135e8bacf,0
55589,sp|Q9NSY1|BMP2K_HUMAN,Q9NSY1,BMP2K_HUMAN,BMP2K BIKE HRIHFB2017,BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1),HGNC:18041,BMP2K,BMP2 inducible kinase,0,1,1,Other,NAK,1,Pkinase,51.0,317.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.778792435,http://ndexbio.org/#/network/f3e3c81d-5d8b-11ea-bfdc-0ac135e8bacf,0
659,sp|Q13873|BMPR2_HUMAN,Q13873,BMPR2_HUMAN,BMPR2 PPH1,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II),HGNC:1078,BMPR2,bone morphogenetic protein receptor type 2,0,1,1,TKL,STKR,1,Pkinase,203.0,503.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.101713436,http://ndexbio.org/#/network/962e4dfa-5da7-11ea-bfdc-0ac135e8bacf,0
657,sp|P36894|BMR1A_HUMAN,P36894,BMR1A_HUMAN,BMPR1A ACVRLK3 ALK3,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292),HGNC:1076,BMPR1A,bone morphogenetic protein receptor type 1A,0,1,1,TKL,STKR,1,Pkinase_Tyr,234.0,523.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.86007378,http://ndexbio.org/#/network/0facf9da-5e20-11ea-bfdc-0ac135e8bacf,0
658,sp|O00238|BMR1B_HUMAN,O00238,BMR1B_HUMAN,BMPR1B,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293),HGNC:1077,BMPR1B,bone morphogenetic protein receptor type 1B,0,1,1,TKL,STKR,1,Pkinase_Tyr,204.0,493.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.207881536,http://ndexbio.org/#/network/0271371c-5d8c-11ea-bfdc-0ac135e8bacf,0
